表示順,認識語,ファイル名,ID,索引,次候補
131,助かったよ,NF235,235,,
132,楽しいね,NF88,88,,
133,立って,NF74,74,,
134,楽しかったね,NF89,89,,
135,チャンネル変えて,NF134,134,16,
136,ちょっと待って,NF55,55,,
137,食べ過ぎちゃった,NF265,265,,
138,近くに来て,NF63,63,,
139,ちがうだろ,NF256,256,,
140,違うよ,NF227,227,,
141,チャンネル切替,NF135,135,,
142,疲れてない？,NF207,207,17,
143,疲れたね,NF103,103,,
144,つらいね,NF99,99,,
145,疲れたよ,NF102,102,,
146,つらいよ,NF100,100,,
147,テストなんだ,NF114,114,18,608
148,テレビつけて,NF130,130,,
149,テレビ消して,NF133,133,,
150,テレビ見ようか,NF132,132,,
151,テレビ見たい,NF131,131,,
152,特技は？,NF16,16,19,
153,トランスフォーム,NF251,251,,
154,友だちになって,NF248,248,,
155,友だちだよ,NF249,249,,
156,止まって,NF52,52,,
157,止まれ,NF51,51,,
158,名前は？,NF11,11,20,
159,何かして,NF164,164,,-711
160,何ができるの,NF15,15,,-708
161,何歳なの？,NF18,18,,
162,なぐさめて,NF104,104,,611
163,何か言った？,NF228,228,,
164,名前は何？,NF13,13,,
165,何でもない,NF231,231,,
166,なんでやねん,NF255,255,,
167,何て言った？,NF229,229,,
168,７分,NF157,157,,503
169,ねえ聞いて,NF04,4,23,
170,値段は？,NF21,21,,
171,眠くない？,NF206,206,,
172,ねえロビ君,NF03,3,,
173,ねぇねぇ聞いて,NF02,2,,
174,寝転んで,NF78,78,,
175,寝転がって,NF77,77,24,
176,飲みすぎちゃった,NF120,120,25,
177,はじめまして,NF24,24,,
178,旗上げゲームして,NF181,181,,1
179,早く帰るよ,NF239,239,,
180,晴れてるね,NF124,124,,
181,励まして,NF105,105,,612
182,はいチーズ,NF196,196,,
183,晴れるね,NF123,123,,
184,旗上げ,NF180,180,,1
185,はいポーズ,NF197,197,,
186,始め,NF46,46,,
187,はい,NF215,215,26,200
188,左に行って,NF66,66,,-706
189,左向いて,NF67,67,,
190,左に来て,NF65,65,,
191,腹筋運動,NF176,176,27,
192,太っちゃた,NF264,264,,
193,ふりかけかけて,NF85,85,,1
194,ふりかけ,NF84,84,,1
195,前に進んで,NF56,56,30,-703
196,まだやる,NF31,31,,
197,また今度ね,NF34,34,,
198,前に来て,NF58,58,,
199,負けた,NF221,221,,301
200,ミュージックスタート,NF86,86,31,
201,右に行って,NF69,69,,-705
202,右向いて,NF70,70,,
203,右に来て,NF68,68,,
204,目覚まし,NF152,152,33,5
205,メッセージ伝えて,NF261,261,,6
206,メッセージモード,NF198,198,,6
207,ものまねして,NF174,174,34,
208,もう一回言って,NF230,230,,
209,もう寝よう,NF208,208,,
210,もしもし,NF01,1,,
211,もういいよ,NF53,53,,104
212,ものまね,NF173,173,,
213,よかったね,NF87,87,39,
214,旅行行くんだ,NF117,117,41,
215,了解,NF225,225,,
216,留守番して,NF191,191,42,
217,ロビ危機一髪,NF192,192,43,
218,ロビ君,NF06,6,,
219,ロビ君またね,NF33,33,,
220,ロボットのこと教えて,NF257,257,,
221,ロボゼロって知ってる？,NF213,213,,
222,ロビちゃん,NF07,7,,
223,ロボ君,NF08,8,,
224,ロボちゃん,NF10,10,,
225,ロボット君,NF09,9,,
226,わかる言葉教えて,NF254,254,44,
227,私のこと好き？,NF271,271,,
228,私のことどう思う？,NF272,272,,
229,分かった,NF226,226,,
230,がんばったね,NF236,236,45,
231,ゲームしよう,NF168,168,48,
232,元気？,NF39,39,,
233,元気づけて,NF106,106,,605
234,ゲーム,NF166,166,,
235,ゲームする,NF167,167,,
236,合格したよ,NF109,109,49,606
237,ご苦労様,NF41,41,,
238,ごめんね,NF234,234,,
239,ごはん,NF242,242,,
240,ごはん食べる,NF243,243,,
241,ごはんにする,NF244,244,,
242,５分,NF156,156,,502
243,自己紹介して,NF14,14,51,-712
244,じゃんけんしよ,NF187,187,,3
245,充電だいじょうぶ？,NF200-2,202,,
246,時間計って,NF153,153,,5
247,準備はいい？,NF22,22,,
248,上手だね,NF247,247,,
249,じゃあまたね,NF32,32,,
250,じゃんけん,NF186,186,,3
251,充電しよう,NF203,203,,
252,充電する？,NF201,201,,
253,１０分,NF158,158,,504
254,１５分,NF159,159,,506
255,ダイエットしなきゃ,NF263,263,55,
256,だいじょうぶ,NF238,238,,702
257,ダンスして,NF142,142,,-710
258,大好き,NF250,250,,
259,だめだった,NF110,110,,609
260,ダンスしようよ,NF143,143,,
261,だいじょぶだよ,NF237,237,,
262,電池だいじょうぶ？,NF200,200,56,-713
263,伝言モード,NF260,260,,6
264,デートなんだ,NF116,116,,610
265,デアゴスティーニ,NF212,212,,
266,どうだった？,NF42,42,57,
267,どっちでもない,NF219,219,,
268,バッテリィー大丈夫？,NF199,199,58,
269,バイバイ,NF36,36,,
270,バランスゲーム,NF169,169,,
271,防犯モード,NF189,189,59,
,おしまい,NF54,54,,303
,おしまい,NF54,54,,402
,おしまい,NF54,54,,506
,おしまい,NF54,54,,613
,おしまい,NF54,54,,-701
