表示順,認識語,ファイル名,ID,索引,次候補
166,なんでやねん,255,255,,
167,何て言った？,229,229,,
168,７分,157,157,,503
169,ねえ聞いて,4,4,23,
170,値段は？,21,21,,
171,眠くない？,206,206,,
172,ねえロビ君,3,3,,
173,ねぇねぇ聞いて,2,2,,
174,寝転んで,78,78,,
175,寝転がって,77,77,24,
176,飲みすぎちゃった,120,120,25,
177,はじめまして,24,24,,
178,旗上げゲームして,181,181,,1
179,早く帰るよ,239,239,,
180,晴れてるね,124,124,,
181,励まして,105,105,,612
182,はいチーズ,196,196,,
183,晴れるね,123,123,,
184,旗上げ,180,180,,1
185,はいポーズ,197,197,,
186,始め,46,46,,
187,はい,215,215,26,200
188,左に行って,66,66,,-706
189,左向いて,67,67,,
190,左に来て,65,65,,
191,腹筋運動,176,176,27,
192,太っちゃた,264,264,,
193,ふりかけかけて,85,85,,1
194,ふりかけ,84,84,,1
195,前に進んで,56,56,30,-703
196,まだやる,31,31,,
197,また今度ね,34,34,,
198,前に来て,58,58,,
199,負けた,221,221,,301
200,ミュージックスタート,86,86,31,
201,右に行って,69,69,,-705
202,右向いて,70,70,,
203,右に来て,68,68,,
204,目覚まし,152,152,33,5
205,メッセージ伝えて,261,261,,6
206,メッセージモード,198,198,,6
207,ものまねして,174,174,34,
208,もう一回言って,230,230,,
209,もう寝よう,208,208,,
210,もしもし,1,1,,
211,もういいよ,53,53,,104
212,ものまね,173,173,,
213,よかったね,87,87,39,
214,旅行行くんだ,117,117,41,
215,了解,225,225,,
216,留守番して,191,191,42,
217,ロビ危機一髪,192,192,43,
218,ロビ君,6,6,,
219,ロビ君またね,33,33,,
220,ロボットのこと教えて,257,257,,
221,ロボゼロって知ってる？,213,213,,
222,ロビちゃん,7,7,,
223,ロボ君,8,8,,
224,ロボちゃん,10,10,,
225,ロボット君,9,9,,
226,わかる言葉教えて,254,254,44,
227,私のこと好き？,271,271,,
228,私のことどう思う？,272,272,,
229,分かった,226,226,,
230,がんばったね,236,236,45,
231,ゲームしよう,168,168,48,
232,元気？,39,39,,
233,元気づけて,106,106,,605
234,ゲーム,166,166,,
235,ゲームする,167,167,,
236,合格したよ,109,109,49,606
237,ご苦労様,41,41,,
238,ごめんね,234,234,,
239,ごはん,242,242,,
240,ごはん食べる,243,243,,
241,ごはんにする,244,244,,
242,５分,156,156,,502
243,自己紹介して,14,14,51,-712
244,じゃんけんしよ,187,187,,3
245,充電だいじょうぶ？,700,202,,
246,時間計って,153,153,,5
247,準備はいい？,22,22,,
248,上手だね,247,247,,
249,じゃあまたね,32,32,,
250,じゃんけん,186,186,,3
251,充電しよう,203,203,,
252,充電する？,201,201,,
253,１０分,158,158,,504
254,１５分,159,159,,506
255,ダイエットしなきゃ,263,263,55,
256,だいじょうぶ,238,238,,702
257,ダンスして,142,142,,-710
258,大好き,250,250,,
259,だめだった,110,110,,609
260,ダンスしようよ,143,143,,
261,だいじょぶだよ,237,237,,
262,電池だいじょうぶ？,200,200,56,-713
263,伝言モード,260,260,,6
264,デートなんだ,116,116,,610
265,デアゴスティーニ,212,212,,
266,どうだった？,42,42,57,
267,どっちでもない,219,219,,
268,バッテリィー大丈夫？,199,199,58,
269,バイバイ,36,36,,
270,バランスゲーム,169,169,,
271,防犯モード,189,189,59,
,おしまい,54,54,,303
,おしまい,54,54,,402
,おしまい,54,54,,506
,おしまい,54,54,,613
,おしまい,54,54,,-701
