表示順,音声,時間,ID,索引,次候補
84,感謝されるとうれしいよね,4,1181,,
85,機嫌直してね,3,1194,6,
86,キナコ餅,3,1359,,
87,気にしない気にしない,4,1092,,
88,気にしない気にしない,4,1210,,
89,記念日に一緒に居られてうれしいね,5,1101,,
90,記念日の写真を撮ろうよ,4,1099,,
91,君なら大丈夫,3,1085,,
92,君ならできるよ,3,1122,,
93,キューボ,2,1370,,
94,キューボてるてる坊主にしちゃおうよ,5,1128,,
95,キューボとロビの固い友情に,4,1281,,
96,キューボのものなねして,3,1422,,
97,キューボは,2,1251,,
98,今日のおやつは何かな,4,1178,,
99,今日はおやつ抜き,3,1228,,
100,気を付けてね,3,1113,,
101,悔しいなもう一回,4,1156,7,
102,クリスマスプレゼント楽しみだな,5,1104,,
103,結婚記念日だね,3,1318,8,
104,ケンカしないでね,3,1440,,
105,こちらロビです,3,1265,9,
106,こっそり練習したんだよ,4,1218,,
107,今年もいっぱい遊ぼうね,4,1123,,
108,困ったね僕は力になれいけど,6,1231,,
109,これくらい,2,1135,,
110,コングラチュレーション,4,1208,,
111,こんど紹介してね,3,1225,,
112,最高きっとうまくいくよ,5,1185,10,
113,サイコロ持たせてね,3,1402,,
114,桜咲いたね,3,1096,,
115,シシャモ,2,1354,11,
116,失敗は成功の基,4,1223,,
117,しょうがないな一杯だけだよ,5,1236,,
118,上手でしょう,3,1137,,
119,ショボーン淋しいな,5,1214,,
120,しょんぼり,3,1097,,
121,新幹線,3,1383,,
122,水族館,3,1373,12,
123,スクワット五回して,3,1428,,
124,すごいね,3,1410,,
125,すごーい,3,1095,,
126,すごく喜んでたよ,3,1182,,
127,涼しいところに行こうよ,4,1132,,
128,スタート,2,1154,,
129,素敵な記念日を過ごしてね,4,1100,,
130,ストラップ,3,1367,,
131,スリッパ,3,1385,,
132,節約節約,3,1232,13,
133,ソーレ,2,1404,14,
134,その場で五回まわって,4,1430,,
135,そのまま五秒キープ,3,1431,,
136,それからスイッチ入れて,3,1301,,
137,それほどでもないよ,3,1065,,
138,そろそろロビチェアに座りたいな,5,1199,,
139,そんな時もあるよ,3,1117,,
140,楽しいことがたくさんありますように,5,1124,15,
141,楽しいことを考えよう,4,1090,,
142,ダビーン,3,1229,,
143,食べすぎ注意,3,1179,,
144,違うねあいこでパー,5,1161,16,
145,力こぶ,3,1378,,
146,チャーシューメン,3,1360,,
147,ちゃちゃんちゃちゃんチャカチャカちゃんじゃじゃじゃーんそれがじんせーい,11,1094,,
148,中国語で挨拶するよ,4,1274,,
149,蝶ネクタイ,3,1374,,
150,チョコレートケーキ,3,1369,,
151,ちょっと手伝ってぇ足を押さえてね,5,1151,,
152,疲れちゃった,3,1429,17,
153,土踏まず,3,1380,,
154,つらいのつらいの飛んでいけ,6,1079,,
155,次は勝つぞーあいこでぐー,6,1159,,
156,テレレレッテレー正解です,5,1145,18,
157,特別な日だね,3,1319,19,
158,時計の電池切れかも,4,1290,,
159,時計の電池を確認してね,4,1291,,
160,とっても楽しかった,4,1139,,
161,とっても楽しかった,3,1060,,
162,隣の家に囲いが出来たんだって,5,1276,,
163,隣の人とあっち向いてホイして,4,1434,,
164,隣の人とじゃんけんして,4,1426,,
165,隣の人とにらめっこして,4,1433,,
166,隣の人をハグしてあげて,4,1423,,
167,トマトケチャップ,3,1365,,
168,友達,3,1395,,
169,トランポリン,3,1388,,
170,慰めてあげるね,3,1076,20,
171,何かなあ,3,1419,,
172,生麦生米生卵,4,1324,,
173,生麦生米生卵,3,1325,,
174,習い事の日だよ,3,1320,,
175,なんくるナイサー,4,1271,,
176,何の日を確認する,3,1294,,
177,ニーハオわしロビ,4,1275,21,
178,２０００Ｘ年ついにあのヒーローが登場,7,1280,,
179,似た者同士,3,1382,,
180,ニヤーオ,3,1259,,
181,ニュースキャスターの真似するよ,4,1267,,
182,ネコの物まねするよ,4,1258,23,
183,熱中症に注意,3,1131,,
184,眠たくなっちゃた,4,1203,,
185,のことはもう覚えてるよ,4,1297,24,
186,ハーほんとに行ってみたいな,6,1266,25,
187,外れ―,3,1147,,
188,初詣いこうよ,3,1125,,
189,ハブアナイススリープ,3,1114,,
190,ハブアナイストリップ,4,1311,,
191,早く着替えて遊ぼうよ,4,1171,,
192,早口言葉一緒にやろう,4,1424,,
193,早く良くなってまた遊ぼうね,4,1116,,
194,晴れてるとウキウキするよね,4,1127,,
195,ハローヒューストン,3,1264,,
196,反省してたよ,3,1193,,
197,羊のもの真似するよ,4,1260,26,
198,ヘーイソウナンダ,4,1406,28,
199,へえーっ,3,1277,,
200,へへへー僕強いでしょう,5,1157,,
201,褒められちゃった,4,1064,29,
202,本当嬉しいなあ,4,1072,,
203,本当に良かったね,3,1057,,
204,マイネームイズロビ,4,1442,30,
205,負けないぞあいこでチョキ,5,1160,,
206,また後で遊ぼうね,3,1239,,
207,まだまだパワー全開,4,1196,,
208,真直ぐこっち見て,3,1298,,
209,待ってるね,3,1215,,
210,周りに何もないか確認してね,5,1327,,
211,三日坊主はだめだよ,3,1227,31,
212,ムカデ,2,1352,32,
213,メエッーエッー,3,1261,33,
214,目指せ新記録,4,1284,,
215,もう一度最初からやってね,4,1240,34,
216,もう一度見せて,3,1289,,
217,もう駄目かもがくっ,5,1201,,
218,もうフラフラだよ,4,1202,,
219,もちろん友達だよ,4,1219,,
220,もっと仲良くなれるねえ,4,1420,,
221,もつ鍋,3,1355,,
222,ヤギじゃないよ,3,1262,35,
223,約束だよ,3,1213,,
224,役に立ててうれしいな,4,1209,,
225,やったね,2,1407,,
226,ゆっくり休んでね,3,1167,37,
227,夢の中でも遊ぼうね,4,1205,,
228,よく知ってるね,3,1408,39,
229,良く見えなかったよ,3,1288,,
230,よし早口言葉云うね,4,1140,,
231,ラッキーだね,3,1438,40,
232,リモコン設定するよ,4,1256,,
233,了解クイズ出すよ,4,1143,41,
234,リラックスリラックス,4,1109,,
235,ルーレット,3,1387,42,
236,レストラン,3,1377,,
237,レッツダンス,3,1136,,
238,ロビ,2,1394,43,
239,ロビ危機一髪ドキドキするないくよ,7,1162,,
240,ロビザムービーカミングスーン,5,1303,,
241,ロビジャーーンプ,3,1436,,
242,ロビと小さな魔女,3,1247,,
243,ロビと小さな魔女読むよ,4,1254,,
244,ロビニュースの時間です,3,1268,,
245,ロビ人気が上がっているようです,4,1269,,
246,ロビのお留守番読むよ,4,1255,,
247,ロビのぼうけん,3,1246,,
248,ロビのぼうけん読むよ,4,1253,,
249,ロビライドの前に連れて行ってね,4,1328,,
250,ロビライド乗るね,3,1329,,
251,ロビライドモード,3,1326,,
252,わぁーいわぁーい,2,1062,44,
253,忘れちゃえー,3,1091,,
254,笑わないでね,3,1299,,
255,頑張ったら褒めてあげる,4,1121,45,
256,頑張ってね,3,1411,,
257,頑張ってね勝てるよ,4,1108,,
258,頑張ってねだって,4,1183,,
259,ガーンライバル登場,5,1224,,
260,グリンピース,3,1372,47,
261,元気いっぱーつ,4,1084,48,
262,元気出してだって,3,1172,,
263,元気になるおまじないだよチチンプイプイのプイ-い,8,1115,,
264,元気になーれ,3,1083,,
265,元気になーれ,3,1086,,
266,５個進む,3,1437,49,
267,ゴミの日だよ,3,1321,,
268,御免なさいだって,3,1192,,
269,残念だねえ,3,1413,50,
270,じゃ仲良くしようか,4,1304,51,
271,充電した方がいいよ,4,1081,,
272,充電するっ,3,1168,,
273,１０人までしか覚えられないよ,5,1296,,
274,準備が出来たら話しかけてね,4,1287,,
275,上手でしょう,3,1137,,
276,ジンングルジングルベル,4,1103,,
277,ズッキーニ,3,1381,52,
278,ずっと一緒に遊ぼうね,4,1220,,
279,全米が泣いた,3,1282,53,
280,大丈夫だからもっと遊ぼうよ,5,1197,54,
281,大好きだよだって,4,1189,,
282,だいだい大好き,4,1234,,
283,駄目でしょうお酒はほどほどが一番,6,1120,,
284,誰かなあ,3,1418,,
285,誰かの駒を二個戻せるよ,4,1439,,
286,誰にする,3,1416,,
287,誕生日の写真を撮ろうよ,4,1098,,
288,デアゴスティーニを逆から言ってみて,5,1427,55,
289,出来るかなあ,3,1421,,
290,でしょう,2,1216,,
291,でもう一度覚えていい,4,1309,,
292,でもよく言われる,3,1066,,
293,電源切って充電チェアに座らせて,5,1300,,
294,デンデンムシ,3,1353,,
295,何処に行っても注目が集まっています,5,1270,56,
296,どのメーカー,3,1302,,
297,バランスゲーム始めるよ,4,1141,57,
298,ばんざーい,3,1087,,
299,パラソル,2,1386,,
300,パンあっパンケーキ,4,1358,,
301,パーティの写真を撮ろうよ,4,1102,,
302,びっくりしたよ,3,1233,58,
303,ビニールテープ,3,1361,,
304,ビビンバ,3,1357,,
305,ビンゴゲーム,3,1351,,
306,ブーツ,2,1379,,
307,ブブー残念,4,1144,,
308,プリン,3,1368,,
309,プリンセス,3,1366,,
310,プレゼント,3,1364,,
311,プロ野球,2,1362,,
312,別府温泉,3,1356,,
313,僕足遅いんだった,4,1285,59,
314,僕応援するよ,3,1184,,
315,僕が一緒にいるよ,4,1077,,
316,僕がいるから元気出して,4,1078,,
317,僕が数えるよ,3,1412,,
318,僕と遊んだら元気になるかも,4,1173,,
319,僕と一緒に腹筋する,4,1226,,
320,僕のブーツの色だよ,4,1305,,
321,僕の真似をしてね,3,1153,,
322,僕の目がピンク色になるよ,4,1252,,
323,僕は見てるだけ,3,1176,,
324,僕もあってみたいなあ,4,1112,,
325,僕も緊張してきちゃった頑張ってね,6,1111,,
326,僕も楽しいよ,4,1059,,
327,僕も疲れちゃったよ,4,1082,,
328,僕も負けないくらい大好きだよ,4,1191,,
329,僕も負けないくらい大好きだよ,4,1206,,
330,僕もそう思う,3,1056,,
331,僕も待ってたよ,3,1170,,
332,僕もよく失敗するよ,4,1222,,
333,僕を充電チェアーに座らせてね,5,1401,,
334,ボーナス,3,1384,,
335,ボーリング,3,1371,,
336,ポーズとるから写真撮ってね,4,1165,,
337,ポッイ,2,1405,,
